source_image,candidate_image,phash_distance,dhash_distance,edge_distance,visual_distance,orb_keypoints_source,orb_keypoints_candidate,orb_good_matches,orb_inlier_matches,orb_score,combined_score,match_band
C:\Users\ron\Documents\project\images\fig_261h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.26.png,22,23,20,21.75,2040,2500,11,5,0.00245,78.4951,weak
C:\Users\ron\Documents\project\images\fig_261h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.26_1.png,22,23,20,21.75,2040,2500,11,5,0.00245,78.4951,weak
C:\Users\ron\Documents\project\images\fig_241.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.2.png,22,23,20,21.75,1835,2500,4,4,0.00218,78.46798,weak
C:\Users\ron\Documents\project\images\fig_241.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.2_1.png,22,23,20,21.75,1835,2500,4,4,0.00218,78.46798,weak
C:\Users\ron\Documents\project\images\fig_261h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.1.png,24,20,19,21.75,2040,2500,10,4,0.00196,78.44608,weak
C:\Users\ron\Documents\project\images\fig_261h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.1_1.png,24,20,19,21.75,2040,2500,10,4,0.00196,78.44608,weak
C:\Users\ron\Documents\project\images\fig_161.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16.png,18,24,28,22.0,1396,1985,10,6,0.0043,78.4298,weak
C:\Users\ron\Documents\project\images\fig_161.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16_1.png,18,24,28,22.0,1396,1985,10,6,0.0043,78.4298,weak
C:\Users\ron\Documents\project\images\fig_248h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.2.png,24,18,21,21.75,2500,2465,10,4,0.00162,78.41227,weak
C:\Users\ron\Documents\project\images\fig_248h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.2_1.png,24,18,21,21.75,2500,2465,10,4,0.00162,78.41227,weak
C:\Users\ron\Documents\project\images\fig_261h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.54.1.png,22,26,17,21.75,2040,2500,18,3,0.00147,78.39706,weak
C:\Users\ron\Documents\project\images\fig_261h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.54.1_1.png,22,26,17,21.75,2040,2500,18,3,0.00147,78.39706,weak
C:\Users\ron\Documents\project\images\fig_336.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.20.png,18,22,30,22.0,2292,1336,9,4,0.00299,78.2994,weak
C:\Users\ron\Documents\project\images\fig_336.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.20_1.png,18,22,30,22.0,2292,1336,9,4,0.00299,78.2994,weak
C:\Users\ron\Documents\project\images\fig_264.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16.png,18,21,31,22.0,1808,1985,12,5,0.00277,78.27655,weak
C:\Users\ron\Documents\project\images\fig_264.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16_1.png,18,21,31,22.0,1808,1985,12,5,0.00277,78.27655,weak
C:\Users\ron\Documents\project\images\fig_261.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.1.png,24,20,19,21.75,1115,2500,3,0,0.0,78.25,weak
C:\Users\ron\Documents\project\images\fig_261.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.1_1.png,24,20,19,21.75,1115,2500,3,0,0.0,78.25,weak
C:\Users\ron\Documents\project\images\fig_248.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.2.png,24,18,22,22.0,2021,2465,10,5,0.00247,78.2474,weak
C:\Users\ron\Documents\project\images\fig_248.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.2_1.png,24,18,22,22.0,2021,2465,10,5,0.00247,78.2474,weak
C:\Users\ron\Documents\project\images\fig_388.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1932.88.863.png,24,11,29,22.0,1673,2276,8,4,0.00239,78.23909,weak
C:\Users\ron\Documents\project\images\fig_388.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1932.88.863_1.png,24,11,29,22.0,1673,2276,8,4,0.00239,78.23909,weak
C:\Users\ron\Documents\project\images\fig_033.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.14.png,24,20,20,22.0,1852,2500,7,4,0.00216,78.21598,weak
C:\Users\ron\Documents\project\images\fig_033.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.14_1.png,24,20,20,22.0,1852,2500,7,4,0.00216,78.21598,weak
C:\Users\ron\Documents\project\images\fig_360.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1965.9.1.png,26,15,21,22.0,1887,2500,11,4,0.00212,78.21198,weak
C:\Users\ron\Documents\project\images\fig_360.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1965.9.1_1.png,26,15,21,22.0,1887,2500,11,4,0.00212,78.21198,weak
C:\Users\ron\Documents\project\images\fig_013.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1983.25.1.png,22,21,23,22.0,1908,2500,6,4,0.0021,78.20964,weak
C:\Users\ron\Documents\project\images\fig_013.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1983.25.1_1.png,22,21,23,22.0,1908,2500,6,4,0.0021,78.20964,weak
C:\Users\ron\Documents\project\images\fig_336h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.20.png,18,22,31,22.25,2500,1336,15,6,0.00449,78.1991,weak
C:\Users\ron\Documents\project\images\fig_336h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.20_1.png,18,22,31,22.25,2500,1336,15,6,0.00449,78.1991,weak
C:\Users\ron\Documents\project\images\fig_117.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.26.png,22,17,27,22.0,2468,2500,4,4,0.00162,78.16207,weak
C:\Users\ron\Documents\project\images\fig_117.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.26_1.png,22,17,27,22.0,2468,2500,4,4,0.00162,78.16207,weak
C:\Users\ron\Documents\project\images\fig_117.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.26_2.png,22,17,27,22.0,2468,2500,4,4,0.00162,78.16207,weak
C:\Users\ron\Documents\project\images\fig_134.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.3.png,22,20,24,22.0,2476,2498,10,4,0.00162,78.16155,weak
C:\Users\ron\Documents\project\images\fig_134.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.3_1.png,22,20,24,22.0,2476,2498,10,4,0.00162,78.16155,weak
C:\Users\ron\Documents\project\images\fig_296h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.6.png,20,23,25,22.0,2500,2500,9,4,0.0016,78.16,weak
C:\Users\ron\Documents\project\images\fig_296h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.6_1.png,20,23,25,22.0,2500,2500,9,4,0.0016,78.16,weak
C:\Users\ron\Documents\project\images\fig_314h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.1.4.png,24,23,17,22.0,2500,2500,8,4,0.0016,78.16,weak
C:\Users\ron\Documents\project\images\fig_314h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.1.4_1.png,24,23,17,22.0,2500,2500,8,4,0.0016,78.16,weak
C:\Users\ron\Documents\project\images\fig_314h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.1.4_2.png,24,23,17,22.0,2500,2500,8,4,0.0016,78.16,weak
C:\Users\ron\Documents\project\images\fig_275.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1995.1.2.png,28,22,12,22.5,1198,2412,7,7,0.00584,78.08431,weak
C:\Users\ron\Documents\project\images\fig_304.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.23.png,18,27,26,22.25,1234,2500,4,4,0.00324,78.07415,weak
C:\Users\ron\Documents\project\images\fig_304.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.23_1.png,18,27,26,22.25,1234,2500,4,4,0.00324,78.07415,weak
C:\Users\ron\Documents\project\images\fig_267h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.8.png,22,19,26,22.25,1941,2500,15,6,0.00309,78.05912,weak
C:\Users\ron\Documents\project\images\fig_267h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.8_1.png,22,19,26,22.25,1941,2500,15,6,0.00309,78.05912,weak
C:\Users\ron\Documents\project\images\fig_314.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.1.4.png,24,24,17,22.25,1342,2500,9,4,0.00298,78.04806,weak
C:\Users\ron\Documents\project\images\fig_314.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.1.4_1.png,24,24,17,22.25,1342,2500,9,4,0.00298,78.04806,weak
C:\Users\ron\Documents\project\images\fig_314.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.1.4_2.png,24,24,17,22.25,1342,2500,9,4,0.00298,78.04806,weak
C:\Users\ron\Documents\project\images\fig_161.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.5.png,20,13,35,22.0,1396,2500,3,0,0.0,78.0,weak
C:\Users\ron\Documents\project\images\fig_161.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.5_1.png,20,13,35,22.0,1396,2500,3,0,0.0,78.0,weak
C:\Users\ron\Documents\project\images\fig_248h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.23.png,26,18,18,22.0,2500,2500,5,0,0.0,78.0,weak
C:\Users\ron\Documents\project\images\fig_248h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.23_1.png,26,18,18,22.0,2500,2500,5,0,0.0,78.0,weak
C:\Users\ron\Documents\project\images\fig_248h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.23_2.png,26,18,18,22.0,2500,2500,5,0,0.0,78.0,weak
C:\Users\ron\Documents\project\images\fig_286h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5.png,26,13,24,22.25,2500,2176,15,5,0.0023,77.97978,weak
C:\Users\ron\Documents\project\images\fig_286h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5_1.png,26,13,24,22.25,2500,2176,15,5,0.0023,77.97978,weak
C:\Users\ron\Documents\project\images\fig_286h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5_2.png,26,13,24,22.25,2500,2176,15,5,0.0023,77.97978,weak
C:\Users\ron\Documents\project\images\fig_184h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1938.34.94_1.png,22,19,26,22.25,2500,2240,19,5,0.00223,77.97321,weak
C:\Users\ron\Documents\project\images\fig_184h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1938.34.94_1_1.png,22,19,26,22.25,2500,2240,19,5,0.00223,77.97321,weak
C:\Users\ron\Documents\project\images\fig_028.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.2.png,18,25,28,22.25,1892,2500,8,4,0.00211,77.96142,weak
C:\Users\ron\Documents\project\images\fig_028.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.2_1.png,18,25,28,22.25,1892,2500,8,4,0.00211,77.96142,weak
C:\Users\ron\Documents\project\images\fig_028.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.2_1_1.png,18,25,28,22.25,1892,2500,8,4,0.00211,77.96142,weak
C:\Users\ron\Documents\project\images\fig_112.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16.png,20,15,34,22.25,2443,1985,10,4,0.00202,77.95151,weak
C:\Users\ron\Documents\project\images\fig_112.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16_1.png,20,15,34,22.25,2443,1985,10,4,0.00202,77.95151,weak
C:\Users\ron\Documents\project\images\fig_194h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3.png,18,22,31,22.25,2115,2382,8,4,0.00189,77.93913,weak
C:\Users\ron\Documents\project\images\fig_194h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3_1.png,18,22,31,22.25,2115,2382,8,4,0.00189,77.93913,weak
C:\Users\ron\Documents\project\images\fig_275h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.24.png,24,23,18,22.25,2142,2500,9,4,0.00187,77.93674,weak
C:\Users\ron\Documents\project\images\fig_275h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.24_1.png,24,23,18,22.25,2142,2500,9,4,0.00187,77.93674,weak
C:\Users\ron\Documents\project\images\fig_275h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.24_2.png,24,23,18,22.25,2142,2500,9,4,0.00187,77.93674,weak
C:\Users\ron\Documents\project\images\fig_007.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.33.png,18,18,35,22.25,2365,2500,4,4,0.00169,77.91913,weak
C:\Users\ron\Documents\project\images\fig_007.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.33_1.png,18,18,35,22.25,2365,2500,4,4,0.00169,77.91913,weak
C:\Users\ron\Documents\project\images\fig_028h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.2.png,18,25,28,22.25,2500,2500,10,4,0.0016,77.91,weak
C:\Users\ron\Documents\project\images\fig_028h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.2_1.png,18,25,28,22.25,2500,2500,10,4,0.0016,77.91,weak
C:\Users\ron\Documents\project\images\fig_028h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.2_1_1.png,18,25,28,22.25,2500,2500,10,4,0.0016,77.91,weak
C:\Users\ron\Documents\project\images\fig_361.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1965.9.1.png,20,24,25,22.25,2441,2500,12,3,0.00123,77.8729,weak
C:\Users\ron\Documents\project\images\fig_361.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1965.9.1_1.png,20,24,25,22.25,2441,2500,12,3,0.00123,77.8729,weak
C:\Users\ron\Documents\project\images\fig_135.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1975.7.2_1.png,20,28,23,22.75,685,2500,4,4,0.00584,77.83394,weak
C:\Users\ron\Documents\project\images\fig_135.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1975.7.2_1_1.png,20,28,23,22.75,685,2500,4,4,0.00584,77.83394,weak
C:\Users\ron\Documents\project\images\fig_275.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.17.1.png,22,23,23,22.5,1198,2453,6,4,0.00334,77.83389,weak
C:\Users\ron\Documents\project\images\fig_275.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.17.1_1.png,22,23,23,22.5,1198,2453,6,4,0.00334,77.83389,weak
C:\Users\ron\Documents\project\images\fig_362h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.24.png,22,21,25,22.5,2500,2500,18,8,0.0032,77.82,weak
C:\Users\ron\Documents\project\images\fig_362h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.24_1.png,22,21,25,22.5,2500,2500,18,8,0.0032,77.82,weak
C:\Users\ron\Documents\project\images\fig_328h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3.png,20,19,31,22.5,2192,2382,23,7,0.00319,77.81934,weak
C:\Users\ron\Documents\project\images\fig_328h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3_1.png,20,19,31,22.5,2192,2382,23,7,0.00319,77.81934,weak
C:\Users\ron\Documents\project\images\fig_328.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3.png,20,19,31,22.5,1392,2382,6,4,0.00287,77.78736,weak
C:\Users\ron\Documents\project\images\fig_328.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3_1.png,20,19,31,22.5,1392,2382,6,4,0.00287,77.78736,weak
C:\Users\ron\Documents\project\images\fig_296.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.5_1.png,24,21,21,22.5,1554,2500,6,4,0.00257,77.7574,weak
C:\Users\ron\Documents\project\images\fig_296.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.5_1_1.png,24,21,21,22.5,1554,2500,6,4,0.00257,77.7574,weak
C:\Users\ron\Documents\project\images\fig_161h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16.png,18,24,30,22.5,2478,1985,10,5,0.00252,77.75189,weak
C:\Users\ron\Documents\project\images\fig_161h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16_1.png,18,24,30,22.5,2478,1985,10,5,0.00252,77.75189,weak
C:\Users\ron\Documents\project\images\fig_104h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.37.png,26,29,8,22.25,239,359,3,0,0.0,77.75,weak
C:\Users\ron\Documents\project\images\fig_104h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.37_1.png,26,29,8,22.25,239,359,3,0,0.0,77.75,weak
C:\Users\ron\Documents\project\images\fig_184.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1938.34.94_1.png,22,19,26,22.25,2349,2240,2,0,0.0,77.75,weak
C:\Users\ron\Documents\project\images\fig_184.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1938.34.94_1_1.png,22,19,26,22.25,2349,2240,2,0,0.0,77.75,weak
C:\Users\ron\Documents\project\images\fig_275.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1983.25.1.png,24,20,21,22.25,1198,2500,3,0,0.0,77.75,weak
C:\Users\ron\Documents\project\images\fig_275.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1983.25.1_1.png,24,20,21,22.25,1198,2500,3,0,0.0,77.75,weak
C:\Users\ron\Documents\project\images\fig_304.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.21.png,18,27,26,22.25,1234,2500,6,0,0.0,77.75,weak
C:\Users\ron\Documents\project\images\fig_304.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.21_1.png,18,27,26,22.25,1234,2500,6,0,0.0,77.75,weak
C:\Users\ron\Documents\project\images\fig_292.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.10.1.png,22,18,32,23.5,2437,400,14,5,0.0125,77.75,weak
C:\Users\ron\Documents\project\images\fig_292.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.10.1_1.png,22,18,32,23.5,2437,400,14,5,0.0125,77.75,weak
C:\Users\ron\Documents\project\images\fig_362.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.24.png,22,22,24,22.5,1635,2500,9,4,0.00245,77.74465,weak
